Microscopic investigation of ionic conductivity in alkali metal salts-poly (ethylene oxide) adducts,1404,1983
"C Berthier, W Gorecki, M Minier, MB Armand, JM Chabagno, P Rigaud",,
"Solid State Ionics 11 (1), 91-95",,
Magnetic-field-induced charge-stripe order in the high-temperature superconductor YBa2Cu3Oy,925,2011
"T Wu, H Mayaffre, S Krämer, M Horvatić, C Berthier, WN Hardy, R Liang, ...",,
"Nature 477 (7363), 191-194",,
Magnetic Superstructure in the Two-Dimensional Quantum Antiferromagnet SrCu2(BO3)2,397,2002
"K Kodama, M Takigawa, M Horvatic, C Berthier, H Kageyama, Y Ueda, ...",,
"Science 298 (5592), 395-399",,
Incipient charge order observed by NMR in the normal state of YBa2Cu3Oy,297,2015
"T Wu, H Mayaffre, S Krämer, M Horvatić, C Berthier, WN Hardy, R Liang, ...",,
"Nature communications 6 (1), 6438",,
Emergence of charge order from the vortex state of a high-temperature superconductor,283,2013
"T Wu, H Mayaffre, S Krämer, M Horvatić, C Berthier, PL Kuhns, AP Reyes, ...",,
"Nature communications 4 (1), 2113",,
63 Cu NMR Evidence for Enhanced Antiferromagnetic Correlations around Zn Impurities in YBa 2 Cu 3 O 6.7,263,2000
"MH Julien, T Fehér, M Horvatić, C Berthier, ON Bakharev, P Ségransan, ...",,
"Physical review letters 84 (15), 3422",,
Controlling Luttinger liquid physics in spin ladders under a magnetic field,234,2008
"M Klanjšek, H Mayaffre, C Berthier, M Horvatić, B Chiari, O Piovesana, ...",,
"Physical review letters 101 (13), 137207",,
Spin Gap in  Single Crystals from Cu NMR,207,1996
"MH Julien, P Carretta, M Horvatić, C Berthier, Y Berthier, P Ségransan, ...",,
"Physical review letters 76 (22), 4238",,
"NMR, DSC, and conductivity study of a poly (ethylene oxide) complex electrolyte: PEO (LiClO4) x",202,1986
"W Gorecki, R Andreani, C Berthier, M Armand, M Mali, J Roos, ...",,
"Solid state ionics 18, 295-299",,
Evidence for a connection between charge density waves and the pressure enhancement of superconductivity in 2H-NbSe2,185,1976
"C Berthier, P Molinié, D Jérome",,
"Solid State Communications 18 (9-10), 1393-1395",,
Evidence of Andreev bound states as a hallmark of the FFLO phase in κ-(BEDT-TTF)2Cu(NCS)2,178,2014
"H Mayaffre, S Krämer, M Horvatić, C Berthier, K Miyagawa, K Kanoda, ...",,
"Nature Physics 10 (12), 928-932",,
Thermal analysis and NMR study of a poly (ethylene oxide) complex electrolyte: PEO (LiCF3SO3) x,159,1984
"M Minier, C Berthier, W Gorecki",,
"Journal de Physique 45 (4), 739-744",,
Zero temperature phase transitions in spin-ladders: Phase diagram and dynamical studies of Cu2(C5H12N2)2Cl4>,156,1998
"G Chaboussant, MH Julien, Y Fagot-Revurat, M Hanson, LP Lévy, ...",,
"The European Physical Journal B-Condensed Matter and Complex Systems 6, 167-181",,
Statics and dynamics of weakly coupled antiferromagnetic spin- ladders in a magnetic field,152,2011
"P Bouillot, C Kollath, AM Läuchli, M Zvonarev, B Thielemann, C Rüegg, ...",,
"Physical Review B—Condensed Matter and Materials Physics 83 (5), 054407",,
Observation of an anisotropic Dirac cone reshaping and ferrimagnetic spin polarization in an organic conductor,151,2016
"M Hirata, K Ishikawa, K Miyagawa, M Tamura, C Berthier, D Basko, ...",,
"Nature communications 7 (1), 12666",,
Homogeneous vs. inhomogeneous coexistence of magnetic order and superconductivity probed by NMR in Co-and K-doped iron pnictides,147,2009
"MH Julien, H Mayaffre, M Horvatić, C Berthier, XD Zhang, W Wu, GF Chen, ...",,
"Europhysics Letters 87 (3), 37001",,
"Charge Segregation, Cluster Spin Glass, and Superconductivity in ",146,1999
"MH Julien, F Borsa, P Carretta, M Horvatić, C Berthier, CT Lin",,
"Physical review letters 83 (3), 604",,
"NMR, conductivity and neutron scattering investigation of ionic dynamics in the anhydrous polymer protonic conductor PEO (H3PO4) x",142,1988
"P Donoso, W Gorecki, C Berthier, F Defendini, C Poinsignon, MB Armand",,
"Solid State Ionics 28, 969-974",,
NMR studies of the normal state of high temperature superconductors,139,1996
